Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL
19,"R Albert, AL Barabási, N Carle, A Dougherty","Driven Interfaces in Disordered Media: Determination of Universality Classes from Experimental Data",1998,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.81.2926","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=9924626888099620793"
17,"AL Barabási","Taming complexity",2005,"Nature Physics","nature.com","http://www.nature.com/nphys/journal/v1/n2/abs/nphys162.html","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=3421253482420843950"
16,"AL Barabási, SV Buldyrev, HE Stanley, B Suki","Avalanches in the Lung: A Statistical Mechanical Model",1996,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.76.2192","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=6727797017778307129"
14,"LAN Amaral, AL Barabási, HE Stanley","Universality classes for interface growth with quenched disorder",1994,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.73.62","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1985127126696101050"
11,"I Derényi, C Lee, AL Barabási","Ratchet Effect in Surface Electromigration: Smoothing Surfaces by an ac Field",1998,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.80.1473","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12105609354452136306"
8,"AL Barabási","Self-organized superlattice formation in II–IV and III–V semiconductors",1997,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/70/764/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=10553974411577311992"
7,"A Vázquez, JG Oliveira, AL Barabási","Inhomogeneous evolution of subgraphs and cycles in complex networks",2005,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.71.025103","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1342614772431888013"
5,"AL Barabási, R Bourbonnais, M Jensen, J Kertész, …","Multifractality of growing surfaces",1992,"Physical Review A","APS","http://link.aps.org/doi/10.1103/PhysRevA.45.R6951","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7571378833524866776"
5,"AL Barabási, BA Oulx","Link: la nuova scienza delle reti",2004,"","Giulio Einaudi","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=4290484277183748680"
5,"AL Barabási","Linked, PLUME",2003,"","Penguin Group (New York)","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15199005563944706316"
4,"R Albert, AL Barabási","Emerging of Scaling in Random Networks - IU-Link",1999,"Science","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7311776205494283652"
4,"MC González, AL Barabási","Complex networks: From data to models",2007,"Nature Physics","nature.com","http://www.nature.com/nphys/journal/v3/n4/abs/nphys581.html","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11144012049410664575"
4,"AL BARABÁSI","Linked: how everything is connected to everything else and waht it means for business, science, and …",2003,"New York: Plume Book Penguin Group","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=6551693883878102635"
3,"P Jensen, AL Barabási, H Larralde, S Havlin, HE …","Model incorporating deposition, diffusion, and aggregation in submonolayer nanostructures",1994,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.50.618","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=4436598405271623823"
3,"AL Barabási, M Araujo, HE Stanley","Three-dimensional Toom model: Connection to the anisotropic Kardar-Parisi-Zhang equation",1992,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.68.3729","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11136369649594891400"
3,"A Réka, B Albert-László","Topology of Evolving Networks: Local Events and Universality - IU-Link",2000,"Physical Review Letters","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11298074111968184934"
3,"MA Makeev, AL Barabási","Effect of surface morphology on the sputtering yields. I. Ion sputtering from self-affine surfaces",2004,"Nuclear Inst. and Methods in Physics Research, B","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0168583X04003416","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=5658997906516859333"
3,"AL Barabási","The Architecture of Complexity: From the Diameter of the WWW to the Structure of the Cell",2003,"University of Notre Dame, Physics Department, Self-Organized …","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=10731723627016420815"
3,"AL Barabási","Thermodynamic and kinetic mechanisms in self-assembled quantum dot formation",1999,"Materials Science & Engineering B","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0921510799002056","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15669250285362480241"
3,"AL Barabási","Surfactant-mediated growth of nonequilibrium interfaces",1993,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.70.4102","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=9560804853968579344"
2,"AL Barabási, M Vicsek","Behálózva",2003,"","M. Kvklub","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=18140094798612186898"
2,"AL BARABÁSI, E BONABEAU","Redes sem escala",2003,"São Paulo: Scientific American Brasil","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1530904715617675150"
2,"R Albert, H Jeong, AL Barabási","Diameter of the Web",1999,"Nature","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12885509695235893378"
2,"P Molinŕs-Mata, MA Muńoz, DO Martínez, AL Barabási","Ballistic random walker",1996,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.54.968","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=15572051582350783767"
2,"AL Barabási, ZN Oltvai","Network biology: understanding the cell's functional organization. Natural Reviews. Volume 5, …",0,"","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12387170201137051197"
2,"J Albert-László Barabási","The physics of the Web",2001,"Physics Web http://www. physicsweb. org/article/world/14/7/ …","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=17182583635651542757"
2,"AL Barabási","Invasion Percolation and Global Optimization",1996,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.76.3750","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=5681702789924829678"
2,"AL Barabási","Dynamics of Random Networks: Connectivity and First Order Phase Transitions",1995,"Arxiv preprint cond-mat/9511052","arxiv.org","http://arxiv.org/abs/cond-mat/9511052","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=5555997341227021836"
2,"AL Barabási","The physics of the Web. 2001",0,"","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7785754065882958981"
2,"AL BARABÁSI","Linked: how everything is connected to everything else and what it means for business, science, and …",0,"Links","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=10616499001953559986"
1,"R Albert, H Jeong, AL Barabási","Error and attack tolerance of complex networks/University of Notre Dame",0,"Indiana. 2000.–Working Paper","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=1303151214971862559"
1,"MA Makeev, I Derényi, AL Barabási","Emergence of large-scale vorticity during diffusion in a random potential under an alternating bias",2005,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.71.026112","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7056458317729395867"
1,"A Réka, H Jeong, AL Barabási","Error and attack tolerance of complex networks. 2000",0,"Department of Physics, University of Notre Dame: Notre Dame, …","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=2914141147010278553"
1,"P Raghavan, G Fulgoni, AL Barabási","Incentive Networks",1973,"Journal of Sociology","doi.ieeecomputersociety.org","http://doi.ieeecomputersociety.org/10.1109/LAWEB.2005.18","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=13845911124014454716"
1,"JL Merz, AL Barabási, JK Furdyna, RS Williams","Nanostructure self-assembly as an emerging technology",1999,"Future Trends in Microelectronics","ee.sunysb.edu","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7784742969713638670"
1,"A Vazquez, B Rácz, A Lukács, AL Barabási","Impact of Non-Poissonian Activity Patterns on Spreading Processes",2007,"Physical Review Letters","APS","http://link.aps.org/doi/10.1103/PhysRevLett.98.158702","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=14993882276707705607"
1,"AL Barabási, T Vicsek","Tracing a diffusion-limited aggregate: Self-affine versus self-similar scaling",1990,"Physical Review A","APS","http://link.aps.org/doi/10.1103/PhysRevA.41.6881","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=3595756992567235646"
1,"AL Barabási","Jeong, Hawoong",0,"Neda, Zoltan","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=2338237365886560158"
1,"AL Barabási","andRékaAlbert. 2002.“Statisticalmechanicsofcomplex networks.”",0,"Reviews of Modern Physics","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=10813849892055376815"
1,"AL Barabási","Albert, Réka (1999).‘Emergence of scaling in random networks’",0,"Science","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=16820519424079871604"
1,"B Albert-László, R Albert","Emergence of scaling in random networks",5439,"Science. v286 i","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=17518121277591863729"
1,"AL Barabási, F Slanina","V pavučině sítí",2005,"","Paseka","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11811949318010573076"
1,"B Albert-László, N Oltvai Zoltán","Network Biology: Understanding the Cell’s Functional Organization - IU-Link",2004,"Nature Reviews Genetics","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7001237146267857968"
1,"BA László","Behálózva, a hálózatok új tudománya: hogyan kapcsolódik minden egymáshoz, és mit jelent ez a …",2003,"Budapest, Magyar Könyvklub","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=13690727901158715589"
1,"AL Barabási, G Bianconi","Bose-Einstein Condensation in Complex Networks",2003,"","eldorado.uni-dortmund.de","http://scholar.google.comhttps://eldorado.uni-dortmund.de/handle/2003/18844","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=7282087156908036050"
1,"AL Barabási, E Bonabeau","Scale-free methods",2003,"Scientific American","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=11103580281859760635"
1,"AL Barabási","Albert, Réka & Jeong",1999,"","Hawoong","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=12813253318885290651"
1,"AL Barabási","Linked: The New Science of Networks (Cambridge, Mass.: Perseus, 2002). See also Duncan J. Watts",0,"Six Degrees: The Science of a Connected Age","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=14021332194505007596"
1,"MA Makeev, AL Barabási","Effect of surface roughness on the secondary ion yield in ion sputtering",1998,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/73/2209/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8592944083025481785"
1,"MA Makeev, AL Barabási","Secondary ion yield changes on rippled interfaces",1998,"Applied Physics Letters","link.aip.org","http://link.aip.org/link/?APPLAB/72/906/1","http://scholar.google.com/scholar?num=100&hl=en&lr=&cites=8156882625844526088"
0,"AL Barabási, VW Freeh, H Jeong, JB Brockman","Main navigation",2001,"Nature","nature.com","http://www.nature.com/nature/journal/v412/n6850/abs/412894a0.html","http://www.google.com/search?hl=en&lr=&q=Barabsi+Main+navigation"
0,"AL Barabási, Z Dezso","Halting Viruses in Scale-Free Networks",0,"Physical Review","","","http://www.google.com/search?hl=en&lr=&q=Barabsi+Halting+Viruses+*+Scale"
0,"G Palla, I Farkas, I Derényi, AL Barabási, T …","Reverse engineering of linking preferences from network restructuring",2004,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.70.046115","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:btqKrPfKz9kJ:scholar.google.com/"
0,"AE Motter, N Gulbahce, E Almaas, AL Barabási","Predicting synthetic rescues in metabolic networks",2008,"Molecular Systems Biology","nature.com","http://www.nature.com/msb/journal/v4/n1/full/msb20081.html?message=remove","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:Hk6MDzZnChsJ:scholar.google.com/"
0,"MC González, AL Barabási","From data to models",0,"nd.edu","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:GwAzY_LfXuwJ:scholar.google.com/"
0,"AL Barabási","The Architecture of Complex Systems: Emergence of Scaling in Real Networks",2002,"American Physical Society, Annual APS March Meeting, March …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2002APS..MAR.L5003B","http://www.google.com/search?hl=en&lr=&q=Barabsi+Architecture+*+Complex+Systems"
0,"D Radu, B Qasim, B Albert-László, O Zoltán","Aggregation of topological motifs in the Escherichia coli transcriptional regulatory network",0,"BMC Bioinformatics","doaj.org","http://www.doaj.org/abstract?id=83699","http://66.102.1.104/scholar?num=100&hl=en&lr=&q=cache:bu681HEsZCAJ:www.doaj.org/abstractid83699+author:Albert-Lszl+author:Barabsi"
0,"… , X Yu, N Alon, AL Barabási, E Berlekamp, B …","Editorial: The Future of Power Law Research 525",0,"projecteuclid.org","","http://www.projecteuclid.org/Dienst/Repository/1.0/Disseminate/euclid.im/1150477664/body/pdf","http://www.google.com/search?hl=en&lr=&q=Mitzenmacher+Editorial+*+Future+*+Power"
0,"S Us an eLetter, E Almaas, ZN Oltvai, AL Barabási","The Activity Reaction Core and Plasticity of Metabolic Networks",0,"","","","http://www.google.com/search?hl=en&lr=&q=Us+an+eLetter+Activity+Reaction+Core"
0,"AL Barabási","From network dynamics to human activity and mobility patters",2008,"American Physical Society, 2008 APS March Meeting, March 10- …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2008APS..MARU39001B","http://www.google.com/search?hl=en&lr=&q=Barabsi+network+dynamics+*+human"
0,"… Marcio, BJ Ziv, B Albert-László, B László, O …","Impact of the solvent capacity constraint on E. coli metabolism",0,"BMC Systems Biology","doaj.org","http://www.doaj.org/doaj?func=abstract&amp;id=253275","http://66.102.1.104/scholar?num=100&hl=en&lr=&q=cache:ThodYBvr1mwJ:www.doaj.org/doajfuncabstractid253275+author:Albert-Lszl+author:Barabsi"
0,"MA Makeev, I Derényi, AL Barabási","Two-dimensional particle motion in a random potential under ac bias",2004,"Arxiv preprint cond-mat/0401068","arxiv.org","http://arxiv.org/abs/cond-mat/0401068","http://66.102.1.104/scholar?num=100&hl=en&lr=&q=cache:sGw6lQldTXAJ:arxiv.org/abs/cond-mat/0401068+author:Albert-Lszl+author:Barabsi"
0,"AL Barabási","Dynamic scaling of coupled nonequilibrium interfaces",1992,"Physical Review A","APS","http://link.aps.org/doi/10.1103/PhysRevA.46.R2977","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:iQ9-OwulAwkJ:scholar.google.com/"
0,"R Dobrin, QK Beg, AL Barabási, ZN Oltvai","BMC Bioinformatics",2004,"BMC Bioinformatics","biomedcentral.com","","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:O-SPJHUV46YJ:scholar.google.com/"
0,"P Wang, M González, AL Barabási","Epidemic of cell phone virus",2008,"American Physical Society, 2008 APS March Meeting, March 10- …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2008APS..MARU39013W","http://www.google.com/search?hl=en&lr=&q=Wang+Epidemic+*+cell+phone"
0,"MA Makeev, AL Barabási","Effect of surface morphology on the sputtering yields. II. Ion sputtering from rippled surfaces",2004,"Nuclear Inst. and Methods in Physics Research, B","Elsevier","http://linkinghub.elsevier.com/retrieve/pii/S0168583X04003428","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:D1EUqsFBP0kJ:scholar.google.com/"
0,"G Palla, AL Barabási, T Vicsek","Community dynamics in social networks",2007,"Proceedings of SPIE","link.aip.org","http://link.aip.org/link/?PSISDG/6601/660106/1","http://www.google.com/search?hl=en&lr=&q=Palla+Community+dynamics+*+social"
0,"AL Barabási","3 Emergence of scaling in complex networks",0,"doi.wiley.com","","http://doi.wiley.com/10.1002/3527602755.ch3","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:ezKAQ2kbHmgJ:scholar.google.com/"
0,"… , X Yu, N Alon, AL Barabási, E Berlekamp, B …","Surveys: A Survey on PageRank Computing 73",0,"projecteuclid.org","","http://www.projecteuclid.org/Dienst/Repository/1.0/Disseminate/euclid.im/1128530798/body/pdf","http://www.google.com/search?hl=en&lr=&q=Berkhin+Surveys+*+Survey+*+PageRank"
0,"AL BARABÁSI, E BONABEAU","Networks",2003,"SCIENTIFIC AMERICAN","sciamdigital.com","","http://www.google.com/search?hl=en&lr=&q=BARABSI+Networks"
0,"… K BALDWIN, D BALSARA, AL BARABÁSI, CE BARBER, SA …","Teaching and Research Faculty",0,"registrar.nd.edu","","","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:M7UpcuDXjjcJ:scholar.google.com/"
0,"AL Barabási, R Albert, H Jeong","Scale-free characteristics of random 1121 networks: the topology of the world-wide web” su",2000,"Physica A","","","http://www.google.com/search?hl=en&lr=&q=Barabsi+Scale+free+characteristics"
0,"AL Barabási","Fluxes and dynamics in complex networks",2004,"American Physical Society, March Meeting 2004, March 22-26, …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2004APS..MAR.W4002B","http://www.google.com/search?hl=en&lr=&q=Barabsi+Fluxes+*+dynamics+*+complex"
0,"AL Barabási","Statistical Mechanics of Complex Networks: From the Internet to Cell Biology",2006,"American Physical Society, APS March Meeting, March 13-17, …","adsabs.harvard.edu","http://adsabs.harvard.edu/abs/2006APS..MARF50003B","http://www.google.com/search?hl=en&lr=&q=Barabsi+Statistical+Mechanics+*+Complex"
0,"E ALMAAS, AL BARABÁSI","THE ARCHITECTURE OF COMPLEXITY: FROM WWW TO CELLULAR METABOLISM",0,"Springer","","http://www.springerlink.com/index/t15216668852r665.pdf","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:aNQQi8NNAhoJ:scholar.google.com/"
0,"HA Makse, AL Barabási, HE Stanley","Elastic string in a random medium",1996,"Physical Review E","APS","http://link.aps.org/doi/10.1103/PhysRevE.53.6573","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:bb12yea3QVgJ:scholar.google.com/"
0,"AL Barabási, E Bonabeau","Redes sin escala-El conocimiento de las leyes fundamentales que rigen la organización de las redes …",2003,"Investigación y Ciencia: Edición Española de Scientific …","","","http://www.google.com/search?hl=en&lr=&q=Barabsi+Redes+sin+escala"
0,"P Jensen, AL Barabási, H Larralde, S Havlin, HE …","Connectivity of diffusing particles continually deposited on a surface: relation to LECBD …",1994,"Physica. A","ory.ph.biu.ac.il","","http://scholar.google.com/scholar?num=100&hl=en&lr=&q=related:wh0K98J6_PEJ:scholar.google.com/"
0,"G Palla, AL Barabási, T Vicsek, NPG Contact","From the following article",2007,"Nature","nature.com","http://www.nature.com/nature/journal/v446/n7136/box/nature05670_audecl.html","http://www.google.com/search?hl=en&lr=&q=Palla+following+article"
