journ_id,journal_name,source_type
58,"""2004 AIChE Spring National Meeting, Conference Proceedings""",Scopus
59,"""2004 Annual Meeting - Technical and Symposium Papers, American Society of Heating, Refrigerating and Air-Conditioning Engineers""",Scopus
60,2004 Asia-Pacific Radio Science Conference - Proceedings,Scopus
61,2004 Computing Frontiers Conference,Scopus
62,"""2004 First Annual IEEE Communications Society Conference on Sensor and Ad Hoc Communications and Networks, IEEE SECON 2004""",Scopus
63,2004 IEEE 11th Digital Signal Processing Workshop and 2nd IEEE Signal Processing Education Workshop,Scopus
64,2004 IEEE Conference on Cybernetics and Intelligent Systems,Scopus
65,"""2004 IEEE Conference on Robotics, Automation and Mechatronics""",Scopus
66,"""2004 IEEE Information Theory Workshop - Proceedings, ITW""",Scopus
67,"""2004 IEEE International Conference on Computational Intelligence for Measurements Systems and Applications, CIMSA""",Scopus
68,2004 IEEE International Conference on Mobile Ad-Hoc and Sensor Systems,Scopus
69,2004 IEEE International Conference on Multimedia and Expo (ICME),Scopus
70,"""2004 IEEE International Symposium on Cluster Computing and the Grid, CCGrid 2004""",Scopus
71,2004 IEEE International Symposium on Performance Analysis of Systems and Software,Scopus
72,2004 IEEE International Workshop on Biomedical Circuits and Systems,Scopus
73,"""2004 IEEE International Workshop on Imaging Systems and Techniques, IST""",Scopus
74,2004 IEEE PES Power Systems Conference and Exposition,Scopus
75,2004 IEEE Power Engineering Society General Meeting,Scopus
76,"""2004 IEEE Symposium on Virtual Environments, Human-Computer Interfaces and Measurement Systems, VECIMS""",Scopus
77,2004 IEEE Systems and Information Engineering Design Symposium,Scopus
78,"""2004 IEEE Workshop on IP Operations and Management Proceedings, IPOM 2004: Self-Measurement and Self-Management of IP Networks and Services""",Scopus
79,2004 IEEE/LEOS - Workshop on Advanced Modulation Formats,Scopus
80,2004 IEEE/OES Autonomous Underwater Vehicles,Scopus
81,2004 IEEE/PES Transmission and Distribution Conference and Exposition: Latin America,Scopus
82,2004 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),Scopus
83,2004 IEEE/Sarnoff Symposium on Advances in Wired and Wireless Communication,Scopus
84,2004 International Chemical Recovery Conference,Scopus
85,"""2004 International Conference on Communications, Circuits and Systems""",Scopus
86,"""2004 International Conference on Integrated Circuit Design and Technology, ICICDT""",Scopus
87,"""2004 International Conference on Power System Technology, POWERCON 2004""",Scopus
88,2004 International Conference on Probabilistic Methods Applied to Power Systems,Scopus
89,"""2004 International Conference on Signal Processing and Communications, SPCOM""",Scopus
90,"""2004 International Siberian Workshop on Electron Devices and Materials Proceedings 5th Annual, EDM'2004""",Scopus
91,2004 International Symposium on Chinese Spoken Language Processing - Proceedings,Scopus
92,"""2004 International Symposium on Intelligent Multimedia, Video and Speech Processing, ISIMP 2004""",Scopus
93,2004 International Symposium on System-on-Chip Proceedings,Scopus
94,"""2004 International Symposium on Technology and Society, ISTAS '04 Globalizing Technological Education""",Scopus
95,"""2004 International Symposium on Underwater Technology, UT'04 - Proceedings""",Scopus
96,"""2004 International Workshop on Ultra Wideband Systems; Joint with Conference on Ultra Wideband Systems and Technologies, Joint UWBST and IWUWBS 2004""",Scopus
97,2004 International Workshop on Wireless Ad-Hoc Networks,Scopus
98,2004 ITG Workshop on Smart Antennas - Proceedings,Scopus
99,"""2004 Joint Conference of the 10th Asia-Pacific Conference on Communications and the 5th International Symposium on Multi-Dimensional Mobile Communications Proceedings, APCC/MDMC'04""",Scopus
100,2004 Large Engineering Systems Conference on Power Engineering - Conference Proceedings; Theme: Energy for the Day After Tomorrow,Scopus
101,2004 NSTI Nanotechnology Conference and Trade Show - NSTI Nanotech 2004,Scopus
102,"""2004 RF and Microwave Conference, RFM 2004 - Proceedings""",Scopus
103,"""2004 Second International Workshop, Ultrawideband and Ultrashort Impulse Signals Proceedings, UWBUSIS 2004""",Scopus
104,"""2004 Semiconductor Manufacturing Technology Workshop Proceedings, SMTW""",Scopus
105,2004 Sensor Array and Multichannel Signal Processing Workshop,Scopus
106,"""2004 Seventh Seminar on Neural Network Applications in Electrical Engineering - Proceedings, NEUREL 2004""",Scopus
107,2004 SME Annual Meeting Preprints,Scopus
108,2004 TAPPI Coating and Graphic Arts Conference and Exhibit,Scopus
109,2004 TAPPI Decorative and Industrial Laminates Symposium,Scopus
110,2004 TAPPI Paper Summit - Spring Technical and International Environmental Conference,Scopus
111,2004 Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems: Digest of Papers,Scopus
112,"""2004 Twelfth IEEE International Workshop on Quality of Service, IWQoS 2004""",Scopus
113,"""2004 Winter Meeting - Technical and Symposium Papers, American Society of Heating, Refrigerating and Air-Conditioning Engineers""",Scopus
114,2004 Wireless Telecommunications Symposium - WTS 2004,Scopus
115,"""2005 1st IEEE International Symposium on New Frontiers in Dynamic Spectrum Access Networks, DySPAN 2005""",Scopus
116,"""2005 1st International Conference on Multimedia Services Access Networks, MSAN05""",Scopus
117,"""2005 2nd IEEE Consumer Communications and Networking Conference, CCNC2005""",Scopus
118,"""2005 4th International Symposium on Information Processing in Sensor Networks, IPSN 2005""",Scopus
119,2005 58th Annual Conference for Protective Relay Engineers,Scopus
120,"""2005 9th IFIP/IEEE International Symposium on Integrated Network Management, IM 2005""",Scopus
121,"""2005 AIChE Spring National Meeting, Conference Proceedings""",Scopus
122,"""2005 ANS Topical Meeting on Decommissioning, Decontamination, and Reutilization""",Scopus
123,2005 Beijing International Conference on Imaging: Technology and Applications for the 21st Century,Scopus
124,2005 CIGRE/IEEE PES International Symposium,Scopus
125,"""2005 Conference on Lasers and Electro-Optics, CLEO""",Scopus
126,"""2005 Conference on Optical Network Design and Modelling: Towards the broadband-for-all era, ONDM 2005""",Scopus
127,2005 Fall Technical Conference of the ASME Internal Combustion Engine Division,Scopus
128,"""2005 First International Conference on Neural Interface and Control, Proceedings""",Scopus
129,2005 Heavy Minerals Conference Proceedings,Scopus
130,"""2005 IEEE Annual Conference on Wireless and Microwave Technology, WAMICON 2005 - Conference Proceedings""",Scopus
131,"""2005 IEEE Computational Systems Bioinformatics Conference, Workshops and Poster Abstracts""",Scopus
132,"""2005 IEEE Conference - Avionics Fiber-Optics and Photonics, AVFOP 2005""",Scopus
134,2005 IEEE Electric Ship Technologies Symposium,Scopus
135,"""2005 IEEE International Conference on Dielectric Liquids, ICDL 2005""",Scopus
136,2005 IEEE International Conference on Electric Machines and Drives,Scopus
137,"""2005 IEEE International Conference on Wireless and Mobile Computing, Networking and Communications, WiMob'2005""",Scopus
138,2005 IEEE International Workshop on Intelligent Signal Processing - Proceedings,Scopus
139,"""2005 IEEE Networking, Sensing and Control, ICNSC2005 - Proceedings""",Scopus
140,2005 IEEE Power Engineering Society General Meeting,Scopus
141,2005 IEEE Workshop on Advanced Robotics and its Social Impacts,Scopus
142,2005 IEEE Workshop on Machine Learning for Signal Processing,Scopus
143,"""2005 IEEE Workshop on Microelectronics and Electron Devices, WMED""",Scopus
144,2005 IEEE/ACES International Conference on Wireless Communications and Applied Computational Electromagnetics,Scopus
145,"""2005 International Conference on Advanced Robotics, ICAR '05, Proceedings""",Scopus
146,"""2005 International Conference on Integration of Knowledge Intensive Multi-Agent Systems, KIMAS'05: Modeling, Exploration, and Engineering""",Scopus
147,"""2005 International Conference on Machine Learning and Cybernetics, ICMLC 2005""",Scopus
148,"""2005 International Conference on Physics and Control, PhysCon 2005, Proceedings""",Scopus
149,"""2005 International Conference on Services Systems and Services Management, Proceedings of ICSSSM'05""",Scopus
150,2005 International Conference on Wireless and Optical Communications Networks,Scopus
151,"""2005 International Oil Spill Conference, IOSC 2005""",Scopus
152,2005 International Petroleum Technology Conference Proceedings,Scopus
153,"""2005 International Symposium on Empirical Software Engineering, ISESE 2005""",Scopus
154,"""2005 International Symposium on Power Line Communications and Its Applications, ISPLC 2005""",Scopus
155,"""2005 Non-Volatile Memory Technology Symposium, NVMTS05""",Scopus
156,2005 NSTI Nanotechnology Conference and Trade Show - NSTI Nanotech 2005 Technical Proceedings,Scopus
157,"""2005 Proceedings of the 4th ASME Conference on Integrated Nanosystems: Design, Synthesis, and Applications""",Scopus
158,2005 SME Annual Meeting: Got Mining - Preprints,Scopus
159,"""2005 Spanish Conference on Electron Devices, Proceedings""",Scopus
160,"""2005 SPE Asia Pacific Health, Safety and Environment Conference and Exhibition - Proceedings""",Scopus
161,2005 SPE Asia Pacific Oil and Gas Conference and Exhibition - Proceedings,Scopus
162,2005 SPE-ICoTA (International Coiled Tubing Association)Coiled Tubing Conference and Exhibition - Proceedings,Scopus
163,2005 TAPPI Coating Conference and Exhibit,Scopus
164,2005 TAPPI Practical Papermaking Conference,Scopus
165,"""2005 Workshop on Computational Electromagnetics in Time-Domain, CEM-TD 2005""",Scopus
166,22nd Picture Coding Symposium,Scopus
167,"""23rd Annual Southern African Transport Conference, SATC 2004: Getting Recognition for the Importance of Transport""",Scopus
168,"""24th Annual Southern African Transport Conference, SATC 2005: Transport Challenges for 2010""",Scopus
169,"""24th International Congress on Applications of Lasers and Electro-Optics, ICALEO 2005 - Congress Proceedings""",Scopus
170,26th Annual Canadian Nuclear Society Conference and 29th CNS/CNA Student Conference,Scopus
171,26th Conference on Agricultural and Forest Meteorology,Scopus
172,26th Conference on Hurricanes and Tropical Meteorology,Scopus
173,"""28th International Spring Seminar on Electronics Technology: Meeting the Challenges of Electronics Technology Progress, 2005""",Scopus
174,"""2nd IEEE International Conference on Industrial Informatics, INDIN'04""",Scopus
175,2nd International Conference on Aspect-Oriented Software Development,Scopus
176,"""2nd International Conference on Electrical and Electronics Engineering, ICEEE and XI Conference on Electrical Engineering, CIE 2005""",Scopus
177,2nd International IEEE EMBS Conference on Neural Engineering,Scopus
178,2nd International Meeting on Ironmaking and 1st International Symposium on Iron Ore and Parallel Event- 5th Japan-Brazil Symposium on Dust Processing-Energy-Environment on Metallurgical Industries,Scopus
179,30th European Rotorcraft Forum,Scopus
180,31st Annual ACM SIGUCCS Fall Conference (SIGUSS Conference Proceedings,Scopus
181,31st European Rotorcraft Forum,Scopus
182,"""39th International Universities Power Engineering Conference, UPEC 2004 - Conference Proceedings""",Scopus
183,"""3rd ACS/IEEE International Conference on Computer Systems and Applications, 2005""",Scopus
184,"""3rd International IEEE Northeast Workshop on Circuits and Systems Conference, NEWCAS 2005""",Scopus
185,43rd AIAA Aerospace Sciences Meeting and Exhibit - Meeting Papers,Scopus
186,48th Annual Power Industry Symposium- 15th Annual Joint ISA POWID/EPRI Controls and Instrumentation Conference,Scopus
187,49th Annual Air Traffic Control Association Conference Proceedings - Fall 2004,Scopus
188,4OR,Scopus
188,4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH,Thomson
189,4th International Conference COPPER 99-COBRE 99,Scopus
190,4th North American Conference on Multiphase Technology,Scopus
191,"""54th International Astronautical Congress of the International Astronautical Federation (IAF), the International Academy of Astronautics and the International Institute of Space Law""",Scopus
192,58th Congresso Anual da ABM (ASSociacao Brasileira de Metalurgia e Materiais),Scopus
193,"""5Th IEEE International Vacuum Electronics Conference, IVEC 2004""",Scopus
194,"""5th International Conference on Antenna Theory and Techniques, 2005""",Scopus
195,5th Symposium on the Urban Environment,Scopus
196,"""63rd ARFTG Conference Digest, Spring 2004, Automatic RF Techniques Group: On Wafer Characterization""",Scopus
197,65th ARFTG Microwave Measurements Conference Digest 2005,Scopus
198,"""6th Annual International Siberian Workshop and Tutorials on Electron Devices and Materials, EDM 2005""",Scopus
199,6th International Conference on Advanced Communication Technology: Broadband Convergence Network Infrastructure,Scopus
200,"""7th World Congress of Chemical Engineering, GLASGOW2005, incorporating the 5th European Congress of Chemical Engineering""",Scopus
201,"""85th AMS Annual Meeting, American Meteorological Society - Combined Preprints""",Scopus
202,8th Korea-Russia International Symposium on Science and Technology - Proceedings: KORUS 2004,Scopus
203,9th European Conference on Speech Communication and Technology,Scopus
204,A + U-ARCHITECTURE AND URBANISM,Thomson
205,A Collection of Technical Papers - 13th AIAA/CIRA International Space Planes and Hypersonic Systems and Technologies Conference,Scopus
206,A Collection of Technical Papers - 1st Space Exploration Conference: Continuing the Voyage of Discovery,Scopus
207,A Collection of the 22nd AIAA International Communications Satellite Systems Conference and Exhibit Technical Papers,Scopus
210,AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK,Thomson
211,AAAI Fall Symposium - Technical Report,Scopus
212,AAAI Workshop - Technical Report,Scopus
213,AAC: Augmentative and Alternative Communication,Scopus
213,AUGMENTATIVE AND ALTERNATIVE COMMUNICATION,Thomson
214,AACE International Transactions,Scopus
216,AACN clinical issues,Scopus
218,AAOHN Journal,Scopus
218,AAOHN JOURNAL,Thomson
218,AAOHN journal : official journal of the American Association of Occupational Health Nurses,Scopus
220,AAPG Memoir,Scopus
221,AAPS Journal,Scopus
221,AAPS JOURNAL,Thomson
221,The AAPS Journal [Electronic Resource],Scopus
222,AAPS PharmSci,Scopus
222,AAPS PHARMSCI,Thomson
222,AAPS pharmSci [electronic resource],Scopus
223,AAPS PharmSciTech,Scopus
223,AAPS PHARMSCITECH,Thomson
224,Aardkundige Mededelingen,Scopus
225,AAS History Series,Scopus
226,AATCC Review,Scopus
226,AATCC REVIEW,Thomson
227,ABA Journal,Scopus
227,ABA JOURNAL,Thomson
228,Abacus,Scopus
228,ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,Thomson
229,ABB Review,Scopus
230,Abdominal Imaging,Scopus
230,ABDOMINAL IMAGING,Thomson
231,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,Scopus
231,ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,Thomson
232,Abstract and Applied Analysis,Scopus
232,ABSTRACT AND APPLIED ANALYSIS,Thomson
233,Abstracts of the Pacific Basin Nuclear Conference,Scopus
234,ABU Technical Review,Scopus
235,Academe,Scopus
235,ACADEME-BULLETIN OF THE AAUP,Thomson
236,ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,Thomson
237,Academic Emergency Medicine,Scopus
237,ACADEMIC EMERGENCY MEDICINE,Thomson
238,Academic Journal of Xi'an Jiaotong University,Scopus
239,Academic Medicine,Scopus
239,ACADEMIC MEDICINE,Thomson
240,ACADEMIC PEDIATRICS,Thomson
241,Academic Psychiatry,Scopus
241,ACADEMIC PSYCHIATRY,Thomson
242,Academic Radiology,Scopus
242,ACADEMIC RADIOLOGY,Thomson
243,ACADEMY OF MANAGEMENT ANNALS,Thomson
244,Academy of Management Executive,Scopus
244,ACADEMY OF MANAGEMENT EXECUTIVE,Thomson
245,Academy of Management Journal,Scopus
245,ACADEMY OF MANAGEMENT JOURNAL,Thomson
246,ACADEMY OF MANAGEMENT LEARNING & EDUCATION,Thomson
246,Academy of Management Learning and Education,Scopus
247,Academy of Management Perspectives,Scopus
247,ACADEMY OF MANAGEMENT PERSPECTIVES,Thomson
248,Academy of Management Review,Scopus
248,ACADEMY OF MANAGEMENT REVIEW,Thomson
249,ACADIENSIS,Thomson
250,Acarologia,Scopus
250,ACAROLOGIA,Thomson
251,ACC Current Journal Review,Scopus
252,Accident and Emergency Nursing,Scopus
253,Accident Analysis and Prevention,Scopus
253,ACCIDENT ANALYSIS AND PREVENTION,Thomson
254,ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE,Thomson
255,Accounting and Business Research,Scopus
255,ACCOUNTING AND BUSINESS RESEARCH,Thomson
256,Accounting and Finance,Scopus
256,ACCOUNTING AND FINANCE,Thomson
257,Accounting Forum,Scopus
258,Accounting Horizons,Scopus
258,ACCOUNTING HORIZONS,Thomson
259,"""Accounting, Organizations and Society""",Scopus
259,ACCOUNTING ORGANIZATIONS AND SOCIETY,Thomson
259,"Accounting, Organizations And Society",Scopus
260,Accounting Review,Scopus
260,ACCOUNTING REVIEW,Thomson
261,"""Accounting, Auditing and Accountability Journal""",Scopus
263,Accounts of Chemical Research,Scopus
263,ACCOUNTS OF CHEMICAL RESEARCH,Thomson
264,Accreditation and Quality Assurance,Scopus
264,ACCREDITATION AND QUALITY ASSURANCE,Thomson
265,ACH-MODELS IN CHEMISTRY,Thomson
266,ACI Materials Journal,Scopus
266,ACI MATERIALS JOURNAL,Thomson
267,ACI Structural Journal,Scopus
267,ACI STRUCTURAL JOURNAL,Thomson
268,ACM 2001 Java Grande/ISCOPE Conference,Scopus
269,ACM Computing Surveys,Scopus
269,ACM COMPUTING SURVEYS,Thomson
270,"""ACM International Conference on Computer Graphics, Virtual Reality and Visualisation in Africa""",Scopus
271,ACM Journal on Emerging Technologies in Computing Systems,Scopus
271,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,Thomson
272,"""ACM MSWiM 2004 - Proceedings of the Seventh ACM Symposium on Modeling, Analysis and Simulation of Wireless and Mobile Systems""",Scopus
273,ACM Multimedia 2004 - proceedings of the 12th ACM International Conference on Multimedia,Scopus
274,"""ACM SIGDOC Annual International Conference on Computer Documentation, Proceedings""",Scopus
275,ACM SIGPLAN Notices,Scopus
275,ACM SIGPLAN NOTICES,Thomson
275,Sigplan Notices (Acm Special Interest Group On Programming Languages),Scopus
276,ACM Special Interest Group for Design. of Commun.; SIGDOC 2003: Finding Real-World Solutions for Doc.: How Theory Informs Pract. and Pract. Informs Theory. Proc. of the 21st Annu. Int. Conf. on Doc,Scopus
277,"""ACM Symposium on Solid Modeling and Applications, SM""",Scopus
278,"""ACM Symposium on Virtual Reality Software and Technology, Proceedings, VRST""",Scopus
279,ACM Transactions on Algorithms,Scopus
279,ACM TRANSACTIONS ON ALGORITHMS,Thomson
280,ACM TRANSACTIONS ON APPLIED PERCEPTION,Thomson
281,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,Thomson
282,ACM Transactions on Autonomous and Adaptive Systems,Scopus
282,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,Thomson
283,ACM Transactions on Computational Logic,Scopus
283,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,Thomson
284,ACM Transactions on Computer Systems,Scopus
284,ACM TRANSACTIONS ON COMPUTER SYSTEMS,Thomson
285,ACM Transactions on Computer-Human Interaction,Scopus
285,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,Thomson
286,ACM Transactions on Database Systems,Scopus
286,ACM TRANSACTIONS ON DATABASE SYSTEMS,Thomson
287,ACM Transactions on Design Automation of Electronic Systems,Scopus
287,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,Thomson
288,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,Thomson
289,ACM Transactions on Graphics,Scopus
289,ACM TRANSACTIONS ON GRAPHICS,Thomson
290,ACM Transactions on Information and System Security,Scopus
290,ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY,Thomson
291,ACM Transactions on Information Systems,Scopus
291,ACM TRANSACTIONS ON INFORMATION SYSTEMS,Thomson
292,ACM Transactions on Internet Technology,Scopus
292,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,Thomson
293,ACM Transactions on Mathematical Software,Scopus
293,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,Thomson
294,ACM Transactions on Modeling and Computer Simulation,Scopus
294,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,Thomson
295,"""ACM Transactions on Multimedia Computing, Communications and Applications""",Scopus
295,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,Thomson
296,ACM Transactions on Programming Languages and Systems,Scopus
296,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,Thomson
297,ACM Transactions on Sensor Networks,Scopus
297,ACM TRANSACTIONS ON SENSOR NETWORKS,Thomson
298,ACM Transactions on Software Engineering and Methodology,Scopus
298,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,Thomson
299,ACM Transactions on the Web,Scopus
299,ACM TRANSACTIONS ON THE WEB,Thomson
300,ACM/IEEE International Workshop on Timing Issues in the Specification and Synthesis of Digital Systems,Scopus
301,ACM/SIGDA International Symposium on Field Programmable Gate Arrays - FPGA,Scopus
302,ACME,Scopus
303,Acoustic Research Letters Online,Scopus
303,ACOUSTICS RESEARCH LETTERS ONLINE-ARLO,Thomson
304,Acoustical Physics,Scopus
304,ACOUSTICAL PHYSICS,Thomson
305,Acoustical Science and Technology,Scopus
306,Acoustics Australia,Scopus
306,ACOUSTICS AUSTRALIA,Thomson
307,Acoustics Bulletin,Scopus
308,ACP-APPLIED CARDIOPULMONARY PATHOPHYSIOLOGY,Thomson
309,ACROSS LANGUAGES AND CULTURES,Thomson
310,ACS APPLIED MATERIALS & INTERFACES,Thomson
311,ACS chemical biology,Scopus
311,ACS CHEMICAL BIOLOGY,Thomson
312,ACS CHEMICAL NEUROSCIENCE,Thomson
313,"""ACS Division of Environmental Chemistry, Preprints""",Scopus
314,"""ACS Division of Fuel Chemistry, Preprints""",Scopus
316,ACS MEDICINAL CHEMISTRY LETTERS,Thomson
317,ACS nano,Scopus
317,ACS NANO,Thomson
318,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,Thomson
318,ACS National Meeting Book of Abstracts,Scopus
319,ACS Symposium Series,Scopus
319,ACS SYMPOSIUM SERIES,Thomson
320,"""ACS, Division of Environmental Chemistry - Preprints of Extended Abstracts""",Scopus
321,ACSMS HEALTH & FITNESS JOURNAL,Thomson
321,ACSM's Health and Fitness Journal,Scopus
322,Acta Acustica (Stuttgart),Scopus
323,Acta Acustica united with Acustica,Scopus
323,ACTA ACUSTICA UNITED WITH ACUSTICA,Thomson
323,Acustica,Scopus
323,ACUSTICA,Thomson
324,Acta Adriatica,Scopus
324,ACTA ADRIATICA,Thomson
325,Acta Agriculturae Scandinavica - Section A: Animal Science,Scopus
325,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,Thomson
326,Acta Agriculturae Scandinavica Section B: Soil and Plant Science,Scopus
326,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,Thomson
327,Acta Alimentaria,Scopus
327,ACTA ALIMENTARIA,Thomson
328,Acta Anaesthesiologica Belgica,Scopus
328,ACTA ANAESTHESIOLOGICA BELGICA,Thomson
329,Acta Anaesthesiologica Italica / Anaesthesia and Intensive Care in Italy,Scopus
330,Acta Anaesthesiologica Scandinavica,Scopus
330,ACTA ANAESTHESIOLOGICA SCANDINAVICA,Thomson
331,Acta Anaesthesiologica Sinica,Scopus
332,Acta Anaesthesiologica Taiwanica,Scopus
333,ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION,Thomson
335,Acta Angiologica,Scopus
336,Acta Applicandae Mathematicae,Scopus
336,ACTA APPLICANDAE MATHEMATICAE,Thomson
337,Acta Archaeologica,Scopus
337,ACTA ARCHAEOLOGICA,Thomson
338,Acta Arithmetica,Scopus
338,ACTA ARITHMETICA,Thomson
339,Acta Astronautica,Scopus
339,ACTA ASTRONAUTICA,Thomson
340,Acta Astronomica,Scopus
340,ACTA ASTRONOMICA,Thomson
341,Acta Biochimica et Biophysica Sinica,Scopus
341,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,Thomson
342,Acta Biochimica Polonica,Scopus
342,ACTA BIOCHIMICA POLONICA,Thomson
343,Acta Bioethica,Scopus
